OID_,name,count,code
257,Dunkeld and Dowally,2,257
258,Dunlop,5,258
259,Dunnet,3,259
260,Dunnichen,0,260
261,Dunning,6,261
262,Dunnottar,0,262
263,Dunoon and Kilmun,3,263
264,Dunrossness,0,264
265,Duns,12,265
266,Dunscore,0,266
267,Dunsyre,0,267
268,Durisdeer,0,268
269,Durness,0,269
270,Durris,0,270
271,Duthil and Rothiemurchus,0,271
272,Dyce,0,272
273,Dyke and Moy,3,273
274,Eaglesham,0,274
275,Earlston,4,275
276,Eassie and Nevay,0,276
277,East Kilbride,0,277
278,Eastwood,2,278
279,Eccles,1,279
280,Ecclesmachan,0,280
281,Echt,0,281
282,Eckford,0,282
283,Eday,0,283
284,Edderton,3,284
285,Eddleston,1,285
286,Eddrachillis,0,286
287,Edinburgh,109,287
288,Edinkillie,0,288
289,Ednam,0,289
290,Edrom,1,290
291,Edzell,0,291
292,Elgin,27,292
293,Elie,0,293
294,Ellon,7,294
295,Errol,0,295
296,Erskine,11,296
297,Eskdalemuir,0,297
298,Ettrick,0,298
299,Evie and Rendall,4,299
300,Ewes,0,300
301,Eyemouth,30,301
302,Fala and Soutra,6,302
303,Falkirk,1,303
304,Falkland,5,304
305,Farnell,0,305
306,Farr,2,306
307,Fearn,0,307
308,Fenwick,1,308
309,Fern,0,309
310,Ferry Port on Craig,0,310
311,Fetlar,1,311
312,Fettercairn,0,312
313,Fetteresso,0,313
314,Findo Gask,6,314
315,Fintray,0,315
316,Fintry,0,316
317,Firth,0,317
318,Flisk,4,318
319,Fodderty,0,319
320,Fogo,2,320
321,Fordoun,1,321
322,Fordyce,0,322
323,Forfar,20,323
324,Forgan,3,324
325,Forgandenny,0,325
326,Forglen,0,326
327,Forgue,0,327
328,Forres,0,328
329,Forteviot,2,329
330,Fortingall,0,330
331,Fossoway,29,331
332,Foulden,5,332
333,Foveran,4,333
334,Fowlis Easter,0,334
335,Fowlis Wester,0,335
336,Fraserburgh,1,336
337,Fyvie,3,337
338,Gairloch,0,338
339,Galashiels,4,339
340,Galston,0,340
341,Gamrie,0,341
342,Gargunnock,1,342
343,Gartly,0,343
344,Garvald and Bara,0,344
345,Garvock,0,345
346,Gigha and Cara,0,346
347,Girthon,0,347
348,Girvan,1,348
349,Gladsmuir,13,349
350,Glamis,0,350
351,Glasgow,12,351
352,Glass,1,352
353,Glassary,0,353
354,Glasserton,0,354
355,Glassford,0,355
356,Glenbervie,0,356
357,Glenbuchat,0,357
358,Glencairn,1,358
359,Glencorse,0,359
360,Glendevon,2,360
361,Glenelg,0,361
362,Glenisla,0,362
363,"Glenmuick, Tullich and Glengairn",1,363
364,Glenorchy and Inishail,0,364
365,Glenshiel,0,365
366,Golspie,3,366
367,Gordon,2,367
368,Govan,23,368
369,Grange,5,369
370,Grangemouth,0,370
371,Greenlaw,2,371
372,Greenock,10,372
373,Gretna,0,373
374,Guthrie,0,374
375,Haddington,149,375
376,Half Morton,0,376
377,Halkirk,8,377
378,Hamilton,2,378
379,Harris,0,379
380,Hawick,0,380
381,Heriot,6,381
382,Hobkirk,0,382
383,Hoddom,0,383
384,Holm,2,384
385,Holywood,2,385
386,Houston and Killellan,10,386
387,Hownam,0,387
388,Hoy and Graemsay,2,388
389,Humbie,32,389
390,Hume,0,390
391,Huntly,3,391
392,Hutton,0,392
393,Hutton and Corrie,0,393
394,Inch,0,394
395,Inchinnan,7,395
396,Inchture,0,396
397,Innerleithen,7,397
398,Innerwick,6,398
399,Insch,1,399
400,Inveraray,3,400
401,Inverarity,1,401
402,Inveravon,0,402
403,Inverchaolain,1,403
404,Inveresk,23,404
405,Inverkeilor,0,405
406,Inverkeithing,43,406
407,Inverkeithny,4,407
408,Inverkip,35,408
409,Inverness and Bona,27,409
410,Inverurie,0,410
411,Irvine,24,411
412,Jedburgh,20,412
413,Johnstone,0,413
414,Jura,0,414
415,Keig,0,415
416,Keir,1,416
417,Keith,4,417
418,Keithhall and Kinkell,2,418
419,Kells,0,419
420,Kelso,13,420
421,Kelton,1,421
422,Kemback,0,422
423,Kemnay,1,423
424,Kenmore,0,424
425,Kennethmont,0,425
426,Kennoway,0,426
427,Kettins,0,427
428,Kettle,0,428
429,Kilbarchan,2,429
430,Kilbirnie,2,430
431,Kilbrandon and Kilchattan,0,431
432,Kilbride,1,432
433,Kilcalmonell,0,433
434,Kilchoman,0,434
435,Kilchrenan and Dalavich,0,435
436,Kilconquhar,0,436
437,Kildalton,0,437
438,Kildonan,0,438
439,Kildrummy,0,439
440,Kilfinan,0,440
441,Kilfinichen and Kilvickeon,0,441
442,Killarow and Kilmeny,0,442
443,Killean and Kilchenzie,0,443
444,Killearn,1,444
445,Killearnan,6,445
446,Killin,0,446
447,Kilmacolm,9,447
448,Kilmadock,1,448
449,Kilmallie,2,449
450,Kilmany,5,450
451,Kilmarnock,0,451
452,Kilmaronock,0,452
453,Kilmartin,0,453
454,Kilmaurs,1,454
455,Kilmodan,0,455
456,Kilmonivaig,0,456
457,Kilmorack,0,457
458,Kilmore and Kilbride,0,458
459,Kilmory,0,459
460,Kilmuir,0,460
461,Kilmuir Easter,0,461
462,Kilninian and Kilmore,0,462
463,Kilninver and Kilmelfort,1,463
464,Kilrenny,0,464
465,Kilspindie,0,465
466,Kilsyth,1,466
467,Kiltarlity and Convinth,12,467
468,Kiltearn,1,468
469,Kilwinning,5,469
470,Kincardine (Stirling),1,470
471,Kincardine (Highland),1,471
472,Kincardine O'Neil,6,472
473,Kinclaven,0,473
474,Kinellar,0,474
475,Kinfauns,0,475
476,King Edward,0,476
477,Kingarth,7,477
478,Kinghorn,3,478
479,Kinglassie,0,479
480,Kingoldrum,0,480
481,Kingsbarns,0,481
482,Kingussie and Insh,0,482
483,Kinloch,1,483
484,Kinloss,0,484
485,Kinnaird,0,485
486,Kinneff and Catterline,1,486
487,Kinnell,3,487
488,Kinnettles,0,488
489,Kinnoull,0,489
490,Kinross,4,490
491,Kintail,0,491
492,Kintore,2,492
493,Kippen,3,493
494,Kirkbean,0,494
495,Kirkcaldy and Dysart,72,495
496,Kirkcolm,0,496
497,Kirkconnel,0,497
498,Kirkcowan,0,498
499,Kirkcudbright,15,499
500,Kirkden,0,500
501,Kirkgunzeon,1,501
502,Kirkhill,0,502
503,Kirkhope,0,503
504,Kirkinner,1,504
505,Kirkintilloch,0,505
506,Kirkliston,12,506
507,Kirkmabreck,0,507
508,Kirkmahoe,1,508
509,Kirkmaiden,0,509
510,Kirkmichael (Dumfries & Galloway),0,510
511,Kirkmichael (Moray),0,511
512,Kirkmichael (South Ayrshire),0,512
513,Kirkmichael (Perth & Kinross),0,513
514,Kirknewton,0,514
515,Kirkoswald,0,515
516,Kirkpatrick Durham,0,516
517,Kirkpatrick Irongray,0,517
518,Kirkpatrick-Fleming,0,518
519,Kirkpatrick-Juxta,0,519
520,Kirkurd,7,520
