year,commodity,port,value,type,unit,quantity
1772,Broadcloth,Bombay,57731,export,cloths,3977
1772,Broadcloth,St_Helena,311,export,cloths,10
1772,Broadcloth,Benkulen,642,export,cloths,37
1772,Broadcloth,China,82862,export,cloths,3994
1772,Broadcloth,Angola,0,export,cloths,0
1772,Broadcloth,Penang,0,export,cloths,0
1772,Broadcloth,Java,0,export,cloths,0
1773,Broadcloth,Bengal,25451,export,cloths,1631
1773,Broadcloth,Madras,41828,export,cloths,2869
1773,Broadcloth,Bombay,58544,export,cloths,3595
1773,Broadcloth,St_Helena,185,export,cloths,7
1773,Broadcloth,Benkulen,0,export,cloths,0
1773,Broadcloth,China,82451,export,cloths,4007
1773,Broadcloth,Angola,0,export,cloths,0
1773,Broadcloth,Penang,0,export,cloths,0
1773,Broadcloth,Java,0,export,cloths,0
1774,Broadcloth,Bengal,22728,export,cloths,1455
1774,Broadcloth,Madras,46574,export,cloths,8900
1774,Broadcloth,Bombay,27500,export,cloths,4095
1774,Broadcloth,St_Helena,0,export,cloths,0
1774,Broadcloth,Benkulen,164,export,cloths,3
1774,Broadcloth,China,49506,export,cloths,10093
1774,Broadcloth,Angola,0,export,cloths,0
1774,Broadcloth,Penang,0,export,cloths,0
1774,Broadcloth,Java,0,export,cloths,0
1775,Broadcloth,Bengal,48106,export,cloths,3013
1775,Broadcloth,Madras,36646,export,cloths,2541
1775,Broadcloth,Bombay,29363,export,cloths,1916
1775,Broadcloth,St_Helena,171,export,cloths,8
1775,Broadcloth,Benkulen,771,export,cloths,35
1775,Broadcloth,China,45967,export,cloths,2250
1775,Broadcloth,Angola,0,export,cloths,0
1775,Broadcloth,Penang,0,export,cloths,0
1775,Broadcloth,Java,0,export,cloths,0
1776,Broadcloth,Bengal,14682,export,cloths,864
1776,Broadcloth,Madras,23287,export,cloths,1557
1776,Broadcloth,Bombay,30651,export,cloths,2007
1776,Broadcloth,St_Helena,435,export,cloths,17
1776,Broadcloth,Benkulen,0,export,cloths,0
1776,Broadcloth,China,41414,export,cloths,2047
1776,Broadcloth,Angola,0,export,cloths,0
